episode_id,mode,target,seed,success,failure_reason,detection_success,target_selection_correct,candidate_generation_success,candidate_count,accepted_count,ik_reachable,grasp_success,end_to_end_success,detection_s,grasp_generation_s,graspnet_inference_s,planning_s,execution_s,total_s,lift_m,tool_object_distance_m,source_output
open-vocab-graspnet_mug_seed0,open-vocab-graspnet,mug,0,True,,True,True,True,1005,4,True,True,True,0.11135615800003507,6.645351677999997,5.944352734000006,0.06976552300000094,2.5688397160000136,15.287100272000032,0.09859950504680007,0.04719248996984353,/home/ubuntu/open-vocab-grasping/outputs/20260815_001417_040730_run_seed0
open-vocab-graspnet_mug_seed1,open-vocab-graspnet,mug,1,True,,True,True,True,1016,3,True,True,True,0.09117458500003295,6.486486317000015,5.780982742999981,0.047151027999973394,2.429080909999982,11.666361925000047,0.09613875968790543,0.03916802209708321,/home/ubuntu/open-vocab-grasping/outputs/20260815_001434_129276_run_seed1
open-vocab-graspnet_mug_seed2,open-vocab-graspnet,mug,2,False,object_not_lifted,True,True,True,1007,3,True,False,False,0.08802120699999705,6.544565374999991,5.857647367000027,0.059424014999990504,2.358848828999953,11.505113568000013,0.003400730326354927,0.150039412223863,/home/ubuntu/open-vocab-grasping/outputs/20260815_001447_522361_run_seed2
open-vocab-graspnet_mug_seed3,open-vocab-graspnet,mug,3,True,,True,True,True,1013,4,True,True,True,0.09110014899999896,6.578368269999999,5.878874010000004,0.0721064929999784,2.387347967999972,11.59638966099999,0.11310621498779716,0.025302944355473037,/home/ubuntu/open-vocab-grasping/outputs/20260815_001500_764767_run_seed3
open-vocab-graspnet_mug_seed4,open-vocab-graspnet,mug,4,True,,True,True,True,1004,3,True,True,True,0.09428763699997944,6.605052422000028,5.89280963899995,0.04862571600000365,2.451923084000043,11.675810403999947,0.11657297535953137,0.02030940330627671,/home/ubuntu/open-vocab-grasping/outputs/20260815_001514_103873_run_seed4
open-vocab-graspnet_mug_seed5,open-vocab-graspnet,mug,5,False,object_not_lifted,True,True,True,1008,3,True,False,False,0.08759411899995939,6.594709401999978,5.890034694999997,0.04901655199995503,2.428244327000016,11.62544940700002,3.243380308007304e-07,0.14811371790024508,/home/ubuntu/open-vocab-grasping/outputs/20260815_001527_513274_run_seed5
open-vocab-graspnet_mug_seed6,open-vocab-graspnet,mug,6,True,,True,True,True,1012,5,True,True,True,0.09407695399994509,6.803819677999968,5.912634371999957,0.07591226900001402,2.4060021859999665,11.871449161999976,0.11582129027710453,0.017773298339096532,/home/ubuntu/open-vocab-grasping/outputs/20260815_001540_871719_run_seed6
open-vocab-graspnet_mug_seed7,open-vocab-graspnet,mug,7,True,,True,True,True,1002,6,True,True,True,0.08949906300000521,6.591435890000014,5.909043663000034,0.08988102200004278,2.464425984999991,11.68485463899998,0.10990038849136238,0.03522516595788226,/home/ubuntu/open-vocab-grasping/outputs/20260815_001554_502179_run_seed7
open-vocab-graspnet_mug_seed8,open-vocab-graspnet,mug,8,False,object_not_lifted,True,True,True,1018,3,True,False,False,0.09216090899997198,6.662263817999985,5.960890487000029,0.0511930089999737,2.402196769999989,11.647884690000012,-0.008365000389152513,0.6747722366138822,/home/ubuntu/open-vocab-grasping/outputs/20260815_001607_914943_run_seed8
open-vocab-graspnet_mug_seed9,open-vocab-graspnet,mug,9,False,object_not_lifted,True,True,True,1015,4,True,False,False,0.09879757899994956,6.590992065000023,5.889241996999999,0.06460294899994778,2.424563830000011,11.602092702999983,-3.036391069757838e-07,0.13051671732655462,/home/ubuntu/open-vocab-grasping/outputs/20260815_001621_306425_run_seed9
